T: 71493 ID: 32A, Data: 81 00 00 00 48 02 00 00 
T: 71493 ID: 395, Data: 04 00 40 02 FE FE 75 2C 
T: 71493 ID: FD, Data: E6 DE 1F 80 00 00 00 00 
T: 71493 ID: 324, Data: 47 00 00 00 00 00 00 12 
T: 71493 ID: 101, Data: D0 0F 7D 02 82 1B 00 00 
T: 71493 ID: 40, Data: 44 01 00 00 C3 00 00 00 
T: 71493 ID: 5F4, Data: 64 64 64 00 F2 00 40 00 
T: 71493 ID: 101, Data: E8 00 7D 02 82 1C 00 00 
T: 71493 ID: 5AC, Data: 00 00 FF FE FE 07 00 00 
T: 71493 ID: 5CC, Data: 38 C2 03 01 23 00 04 04 
T: 71493 ID: 101, Data: F6 01 7D 02 82 1B 00 00 
T: 71493 ID: 6B4, Data: 00 92 C3 0D 84 54 4D 42 
T: 71493 ID: FD, Data: 01 D1 1F 80 00 00 00 00 
T: 71493 ID: 32A, Data: 49 02 00 00 48 02 00 00 
T: 71493 ID: 484, Data: 37 8C C0 82 13 46 00 40 
T: 71493 ID: 395, Data: 04 01 40 02 FE FE 75 2C 
T: 71493 ID: 30C, Data: F2 F2 3F 00 60 30 00 50 
T: 71493 ID: 486, Data: F1 68 5E 1B CB 5A 06 D4 
T: 71493 ID: FD, Data: 2D D4 1F 80 00 00 00 00 
T: 71493 ID: 3C0, Data: 31 02 03 00 
T: 71493 ID: 101, Data: 2A 06 7D 02 82 1D 00 00 
T: 71493 ID: 12B, Data: 70 13 80 10 00 00 00 00 
T: 71493 ID: 49A, Data: 00 00 00 00 00 00 00 00 
T: 71493 ID: 2A9, Data: 00 00 00 00 00 00 00 00 
T: 71493 ID: 324, Data: EB 03 00 00 00 00 00 12 
T: 71493 ID: 395, Data: 04 02 40 02 FE FE 75 2C 
T: 71493 ID: 116, Data: B3 08 00 00 00 00 00 FF 
T: 71493 ID: 101, Data: 7B 0B 7D 02 82 22 00 00 
T: 71493 ID: 30B, Data: 50 05 00 00 08 00 00 00 
T: 71493 ID: 395, Data: 04 03 40 02 FE FE 75 2C 
T: 71493 ID: 485, Data: 0A 10 D0 11 B8 4C 21 5B 
T: 71493 ID: 324, Data: 9C 05 00 00 00 00 00 12 
T: 71493 ID: 3E5, Data: E2 15 00 00 00 00 00 00 
T: 71493 ID: 3C0, Data: FE 04 03 00 
T: 71493 ID: 394, Data: 2D 10 00 1A 00 00 00 00 
T: 71493 ID: 101, Data: AD 00 7D 02 82 1E 00 00 
T: 71493 ID: 661, Data: 14 00 00 00 00 00 00 00 
T: 71493 ID: 30B, Data: 50 07 00 00 08 00 00 00 
T: 71493 ID: 101, Data: 95 02 7D 02 82 1D 00 00 
T: 71493 ID: 395, Data: 04 04 40 02 FE FE 75 2C 
T: 71493 ID: 30C, Data: 29 F7 3F 00 60 30 00 50 
T: 71493 ID: 101, Data: 7B 03 7D 02 82 19 00 00 
